dataset	compressor	artifact_bytes	ratio_vs_raw	artifact
leworldmodel_full	padoc	39343276	23.5702	/mnt/treasure/ljx/artifacts_ablation_small_full/leworldmodel_full.padoc.zst
leworldmodel_full	padoc_minimal	37793243	24.5369	/mnt/treasure/ljx/artifacts_ablation_small_full/leworldmodel_full.padoc_minimal.zst
leworldmodel_full	padoc_no_anchor	39287364	23.6038	/mnt/treasure/ljx/artifacts_ablation_small_full/leworldmodel_full.padoc_no_anchor.zst
leworldmodel_full	padoc_no_args_dedup	39380745	23.5478	/mnt/treasure/ljx/artifacts_ablation_small_full/leworldmodel_full.padoc_no_args_dedup.zst
leworldmodel_full	padoc_no_kernel_links	39288334	23.6032	/mnt/treasure/ljx/artifacts_ablation_small_full/leworldmodel_full.padoc_no_kernel_links.zst
leworldmodel_full	padoc_no_name_pattern	39227469	23.6398	/mnt/treasure/ljx/artifacts_ablation_small_full/leworldmodel_full.padoc_no_name_pattern.zst
leworldmodel_full	padoc_no_slp	39343267	23.5702	/mnt/treasure/ljx/artifacts_ablation_small_full/leworldmodel_full.padoc_no_slp.zst
leworldmodel_full	padoc_no_structural	37855854	24.4963	/mnt/treasure/ljx/artifacts_ablation_small_full/leworldmodel_full.padoc_no_structural.zst
qwen3_full	padoc	285455351	25.9920	/mnt/treasure/ljx/artifacts_ablation_small_full/qwen3_full.padoc.zst
qwen3_full	padoc_minimal	278416079	26.6492	/mnt/treasure/ljx/artifacts_ablation_small_full/qwen3_full.padoc_minimal.zst
qwen3_full	padoc_no_anchor	288846167	25.6869	/mnt/treasure/ljx/artifacts_ablation_small_full/qwen3_full.padoc_no_anchor.zst
qwen3_full	padoc_no_args_dedup	284777640	26.0539	/mnt/treasure/ljx/artifacts_ablation_small_full/qwen3_full.padoc_no_args_dedup.zst
qwen3_full	padoc_no_kernel_links	272512646	27.2265	/mnt/treasure/ljx/artifacts_ablation_small_full/qwen3_full.padoc_no_kernel_links.zst
qwen3_full	padoc_no_name_pattern	285707086	25.9691	/mnt/treasure/ljx/artifacts_ablation_small_full/qwen3_full.padoc_no_name_pattern.zst
qwen3_full	padoc_no_slp	285455321	25.9920	/mnt/treasure/ljx/artifacts_ablation_small_full/qwen3_full.padoc_no_slp.zst
qwen3_full	padoc_no_structural	281525327	26.3548	/mnt/treasure/ljx/artifacts_ablation_small_full/qwen3_full.padoc_no_structural.zst
unifolm_full	padoc	777081068	30.9929	/mnt/treasure/ljx/artifacts_ablation_small_full/unifolm_full.padoc.zst
unifolm_full	padoc_minimal	705120459	34.1559	/mnt/treasure/ljx/artifacts_ablation_small_full/unifolm_full.padoc_minimal.zst
unifolm_full	padoc_no_anchor	775465575	31.0575	/mnt/treasure/ljx/artifacts_ablation_small_full/unifolm_full.padoc_no_anchor.zst
unifolm_full	padoc_no_args_dedup	779076523	30.9136	/mnt/treasure/ljx/artifacts_ablation_small_full/unifolm_full.padoc_no_args_dedup.zst
unifolm_full	padoc_no_kernel_links	776355262	31.0219	/mnt/treasure/ljx/artifacts_ablation_small_full/unifolm_full.padoc_no_kernel_links.zst
unifolm_full	padoc_no_name_pattern	757211033	31.8062	/mnt/treasure/ljx/artifacts_ablation_small_full/unifolm_full.padoc_no_name_pattern.zst
unifolm_full	padoc_no_slp	777081074	30.9929	/mnt/treasure/ljx/artifacts_ablation_small_full/unifolm_full.padoc_no_slp.zst
unifolm_full	padoc_no_structural	726355841	33.1573	/mnt/treasure/ljx/artifacts_ablation_small_full/unifolm_full.padoc_no_structural.zst
