dataset	config	task	attributed_gpu_refs	total_gpu_refs	attributed_fraction	row_count
leworldmodel_full	padoc	layer_kernel_hotspot	4637	29589	0.15671364358376424	20
leworldmodel_full	padoc	layer_compute_comm_overlap	4637	29589	0.15671364358376424	808
leworldmodel_full	padoc	layer_rank_balance	4637	29589	0.15671364358376424	597
leworldmodel_full	padoc_no_kernel_links	layer_kernel_hotspot	0	29589	0	0
leworldmodel_full	padoc_no_kernel_links	layer_compute_comm_overlap	0	29589	0	0
leworldmodel_full	padoc_no_kernel_links	layer_rank_balance	0	29589	0	0
qwen3_full	padoc	layer_kernel_hotspot	1592830	1806096	0.8819187905847751	20
qwen3_full	padoc	layer_compute_comm_overlap	1592830	1806096	0.8819187905847751	312106
qwen3_full	padoc	layer_rank_balance	1592830	1806096	0.8819187905847751	3792
qwen3_full	padoc_no_kernel_links	layer_kernel_hotspot	0	1806096	0	0
qwen3_full	padoc_no_kernel_links	layer_compute_comm_overlap	0	1806096	0	0
qwen3_full	padoc_no_kernel_links	layer_rank_balance	0	1806096	0	0
unifolm_full	padoc	layer_kernel_hotspot	449519	7953432	0.056518871350129105	20
unifolm_full	padoc	layer_compute_comm_overlap	447322	7953432	0.05624263839811543	8023
unifolm_full	padoc	layer_rank_balance	449519	7953432	0.056518871350129105	3064
unifolm_full	padoc_no_kernel_links	layer_kernel_hotspot	0	7953432	0	0
unifolm_full	padoc_no_kernel_links	layer_compute_comm_overlap	0	7953432	0	0
unifolm_full	padoc_no_kernel_links	layer_rank_balance	0	7953432	0	0
